"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";;"structurereferente_apre";"text";"Gestion des APREs"
"contenu";;"structurereferente_orientation";"text";"Structurereferente.orientation"
"contenu";;"structurereferente_pdo";"text";"Structurereferente.pdo"
"contenu";;"structurereferente_numtel";"text";"Structurereferente.numtel"
"contenu";;"structurereferente_actif";"text";"Structurereferente.actif"
"contenu";;"structurereferente_typestructure";"text";"Structurereferente.typestructure"
"contenu";;"structurereferente_cui";"text";"Gestion des CUIs"
"contenu";;"structurereferente_numfax";"text";"Structurereferente.numfax"
"contenu";;"user_id";"text";"User.id"
"contenu";;"user_group_id";"text";"User.group_id"
"contenu";;"user_serviceinstructeur_id";"text";"User.serviceinstructeur_id"
"contenu";;"user_username";"text";"Login"
"contenu";;"user_password";"text";"User.password"
"contenu";;"user_nom";"text";"Nom"
"contenu";;"user_prenom";"text";"Prénom"
"contenu";;"user_date_naissance";"text";"User.date_naissance"
"contenu";;"user_date_deb_hab";"date";"User.date_deb_hab"
"contenu";;"user_date_fin_hab";"date";"User.date_fin_hab"
"contenu";;"user_numtel";"text";"User.numtel"
"contenu";;"user_filtre_zone_geo";"text";"User.filtre_zone_geo"
"contenu";;"user_numvoie";"text";"User.numvoie"
"contenu";;"user_typevoie";"text";"User.typevoie"
"contenu";;"user_nomvoie";"text";"User.nomvoie"
"contenu";;"user_compladr";"text";"User.compladr"
"contenu";;"user_codepos";"text";"User.codepos"
"contenu";;"user_ville";"text";"User.ville"
"contenu";;"user_isgestionnaire";"text";"Est-il gestionnaire, notamment pour les PDOs ? "
"contenu";;"user_sensibilite";"text";"Peut-il accéder aux données sensibles ? "
"contenu";;"user_structurereferente_id";"text";"User.structurereferente_id"
"contenu";;"user_referent_id";"text";"User.referent_id"
"contenu";;"user_type";"text";"Type d'utilisateur"
"contenu";;"user_email";"text";"User.email"
"contenu";;"user_poledossierpcg66_id";"text";"User.poledossierpcg66_id"
"contenu";;"user_nom_complet";"text";"User.nom_complet"
"contenu";;"structureactuelle_id";"text";"Structureactuelle.id"
"contenu";;"structureactuelle_typeorient_id";"text";"Structureactuelle.typeorient_id"
"contenu";;"structureactuelle_lib_struc";"text";"Structureactuelle.lib_struc"
"contenu";;"structureactuelle_num_voie";"text";"Structureactuelle.num_voie"
"contenu";;"structureactuelle_type_voie";"text";"Structureactuelle.type_voie"
"contenu";;"structureactuelle_nom_voie";"text";"Structureactuelle.nom_voie"
"contenu";;"structureactuelle_code_postal";"text";"Structureactuelle.code_postal"
"contenu";;"structureactuelle_ville";"text";"Structureactuelle.ville"
"contenu";;"structureactuelle_code_insee";"text";"Structureactuelle.code_insee"
"contenu";;"structureactuelle_filtre_zone_geo";"text";"Structureactuelle.filtre_zone_geo"
"contenu";;"structureactuelle_contratengagement";"text";"Structureactuelle.contratengagement"
"contenu";;"structureactuelle_apre";"text";"Structureactuelle.apre"
"contenu";;"structureactuelle_orientation";"text";"Structureactuelle.orientation"
"contenu";;"structureactuelle_pdo";"text";"Structureactuelle.pdo"
"contenu";;"structureactuelle_numtel";"text";"Structureactuelle.numtel"
"contenu";;"structureactuelle_actif";"text";"Structureactuelle.actif"
"contenu";;"structureactuelle_typestructure";"text";"Structureactuelle.typestructure"
"contenu";;"structureactuelle_cui";"text";"Structureactuelle.cui"
"contenu";;"structureactuelle_numfax";"text";"Structureactuelle.numfax"
"contenu";;"modeleodt_path";"text";
